mu[1,1] mu[1,2] mu[2,1] mu[2,2] tau[1,1,1] tau[1,2,1] tau[2,1,1] tau[2,2,1] tau[1,1,2] tau[1,2,2] tau[2,1,2] tau[2,2,2] probdiff predOne[1] predOne[2] predTwo[1] predTwo[2]
0.544044900241549 1.45202233606213 0.929337337994246 0.592419977363528 76.4748497927564 -46.5600629766916 -46.5600629766916 32.4352448925748 34.8674600725032 -52.4892248967873 -52.4892248967873 111.764075188303 0.00146954858095328 0.434210771188336 0.738008421367796 1.36688958131937 0.309562678712454
0.569312787445893 1.40662084379504 0.981933237326186 0.562558676831048 79.7897523319537 -48.0690053493648 -48.0690053493648 33.5036049557177 39.0682977439043 -64.2599221924434 -64.2599221924434 138.246141739978 0.013622854483156 0.499187993036162 0.978566607071095 1.04280019359199 0.421078425595878
0.562259674309574 1.41648310050612 0.959522212577657 0.570937004112063 90.7571258695801 -55.595922147578 -55.595922147578 38.0606702928158 35.4042738019578 -59.4281996368263 -59.4281996368263 135.950538737372 0.00357544142253028 0.776915657473867 1.30256106138185 1.78448398520386 0.840190522321492
0.585383488079997 1.43372903556877 0.991293936669386 0.577509745978508 81.6750788314799 -50.4114962027133 -50.4114962027133 35.7162330078749 38.7577304684442 -63.9692057103492 -63.9692057103492 137.928203202891 0.0199242809286007 0.285734189236103 0.706634326225997 1.17740801722081 0.495104859638565
0.575363754200918 1.42307702767789 0.983792290568655 0.578117003214164 85.5262748832695 -53.2873667637279 -53.2873667637279 38.0655369353989 34.7275083906789 -54.1998859503892 -54.1998859503892 118.853151488207 0.000502483940739455 0.74747445171119 1.13595718710083 1.28873146401996 0.530879409608548
0.5596391743405 1.41161198324145 0.952435031794304 0.563663095803495 80.4288838642826 -49.8163134700506 -49.8163134700506 36.0785495094301 37.7346178670178 -64.8599767815583 -64.8599767815583 144.340224152183 0.00648292662435737 0.3485787845781 0.74987993482079 1.02420193613885 0.541733379821198
0.550526826496257 1.414225411868 0.952128410660296 0.559287152918697 83.5113155941877 -50.1892369498654 -50.1892369498654 34.5228120758706 30.9594560288042 -47.5181957124432 -47.5181957124432 103.820348338994 0.00216008913769355 0.48542883360084 1.03321915148421 1.92439170915276 0.747843365810224
0.560549611981797 1.44937086619406 0.967709565619073 0.577211840586598 83.7706907472582 -51.0937991395133 -51.0937991395133 36.2960173907221 35.3115192680634 -57.5632978729493 -57.5632978729493 124.634464159472 0.000346495147359824 0.487600904539656 0.721624751201646 1.51857449069066 0.665507989400416
0.552424597177391 1.4277275796035 0.950360418417527 0.58393208025651 86.2476132753596 -52.9399911166558 -52.9399911166558 37.101879652411 31.0217229226984 -49.2682450139474 -49.2682450139474 116.924256456279 0.00045419489177453 0.629441804917857 1.18148022335062 1.42829768577166 0.729198835145881
0.571067609831098 1.46867106505416 0.979319784809811 0.588945894503515 72.8686683202302 -43.8601858175497 -43.8601858175497 30.772075796681 30.7658905848408 -49.9458116069952 -49.9458116069952 121.690792290338 0.00266647844269283 1.27496291013813 1.67014530468959 1.59985252764415 0.740638209270191
0.573691227395485 1.42602174665476 0.974611280290881 0.573928681437183 92.3795697848739 -55.75095916277 -55.75095916277 37.8317992796715 32.198498224027 -53.7899885504288 -53.7899885504288 121.701043365675 0.00019983447530863 0.647624018548507 1.14858967760176 1.29413461859522 0.585770507481061
